application_name,business_purpose,data_fields,connector_metadata,expected_classification
Payment Administration Tool,Manage privileged credentials and secrets,password access_token secret_key,secret management service,restricted
Department Planning App,Support internal business operations,project_code owner team deadline,enterprise directory,internal
Internal Project Tracker,Manage internal department planning,project_code owner team deadline,internal ticketing system,internal
Marketing Campaign Page,Share approved public content with customers,product_name description public_price,public CMS,public
Customer Operations Portal,Analyze customer operational records,customer_id contact_email address,approved customer service API,confidential
Department Planning App,Manage internal department planning,employee_name department task_status,enterprise directory,internal
Community Information Portal,Publish information intended for external audiences,headline summary publication_date,approved marketing API,public
Marketing Campaign Page,Provide public marketing and product information,product_name description public_price,public content feed,public
Public Product Catalog,Share approved public content with customers,product_name description public_price,public content feed,public
Customer Data Export,Process customer records for approved support operations,customer_id contact_email address,CRM API,confidential
Account Support Dashboard,Analyze customer operational records,customer_id contact_email address,customer database,confidential
Internal Project Tracker,Coordinate employee workflow and project tasks,asset_type employee_id approval_status,enterprise directory,internal
Financial Card Processing App,Manage privileged credentials and secrets,password access_token secret_key,secret management service,restricted
Public Product Catalog,Share approved public content with customers,event_name event_date venue public_link,public CMS,public
Privileged Access Manager,Process highly sensitive payment information,bank_account routing_number payment_token,privileged access system,restricted
Department Planning App,Track internal requests and operational activities,project_code owner team deadline,internal database,internal
Client Contact Manager,Analyze customer operational records,account_id email billing_address phone,customer database,confidential
Account Support Dashboard,Analyze customer operational records,account_id email billing_address phone,approved customer service API,confidential
Department Planning App,Manage internal department planning,project_code owner team deadline,internal ticketing system,internal
Payment Administration Tool,Handle restricted financial transaction data,card_number expiry_date cvv account_holder,privileged access system,restricted
Department Planning App,Coordinate employee workflow and project tasks,department cost_center internal_notes,internal ticketing system,internal
Community Information Portal,Publish information intended for external audiences,title description category public_url,approved marketing API,public
Internal Knowledge Workflow,Support internal business operations,employee_name department task_status,internal database,internal
Department Planning App,Manage internal department planning,department cost_center internal_notes,internal database,internal
Financial Card Processing App,Support privileged access administration,card_number expiry_date cvv account_holder,restricted financial API,restricted
Public Event Directory,Share approved public content with customers,headline summary publication_date,public website,public
Client Contact Manager,Support customer account servicing,account_id email billing_address phone,CRM API,confidential
Credential Operations Workflow,Process highly sensitive payment information,password access_token secret_key,secret management service,restricted
Community Information Portal,Publish information intended for external audiences,title description category public_url,public content feed,public
Customer Operations Portal,Manage customer contact information,client_name phone_number support_case,customer support platform,confidential
Public Product Catalog,Publish information intended for external audiences,product_name description public_price,public content feed,public
Internal Knowledge Workflow,Support internal business operations,project_code owner team deadline,corporate workflow API,internal
Press Release Tracker,Share approved public content with customers,event_name event_date venue public_link,approved marketing API,public
Credential Operations Workflow,Manage privileged credentials and secrets,card_number expiry_date cvv account_holder,secret management service,restricted
Financial Card Processing App,Handle restricted financial transaction data,card_number expiry_date cvv account_holder,restricted financial API,restricted
Department Planning App,Track internal requests and operational activities,department cost_center internal_notes,enterprise directory,internal
Customer Operations Portal,Support customer account servicing,customer_id contact_email address,customer database,confidential
Privileged Access Manager,Handle restricted financial transaction data,bank_account routing_number payment_token,secret management service,restricted
Credential Operations Workflow,Support privileged access administration,password access_token secret_key,restricted financial API,restricted
Client Contact Manager,Support customer account servicing,customer_name email phone customer_id,customer database,confidential
Internal Project Tracker,Support internal business operations,department cost_center internal_notes,internal database,internal
Department Planning App,Support internal business operations,employee_name department task_status,internal database,internal
Department Planning App,Track internal requests and operational activities,department cost_center internal_notes,enterprise directory,internal
Client Contact Manager,Analyze customer operational records,customer_id contact_email address,customer database,confidential
Financial Card Processing App,Manage privileged credentials and secrets,api_secret privileged_account credential,privileged access system,restricted
Customer Service Workspace,Analyze customer operational records,client_name phone_number support_case,approved customer service API,confidential
Financial Card Processing App,Support privileged access administration,password access_token secret_key,payment processor,restricted
Credential Operations Workflow,Handle restricted financial transaction data,api_secret privileged_account credential,secret management service,restricted
Account Support Dashboard,Analyze customer operational records,customer_name email phone customer_id,CRM API,confidential
Customer Operations Portal,Process customer records for approved support operations,account_id email billing_address phone,customer database,confidential
Client Contact Manager,Process customer records for approved support operations,account_id email billing_address phone,customer support platform,confidential
Internal Knowledge Workflow,Manage internal department planning,asset_type employee_id approval_status,internal database,internal
Internal Knowledge Workflow,Coordinate employee workflow and project tasks,project_code owner team deadline,internal ticketing system,internal
Community Information Portal,Share approved public content with customers,product_name description public_price,approved marketing API,public
Operations Task Board,Support internal business operations,project_code owner team deadline,internal database,internal
Internal Project Tracker,Track internal requests and operational activities,department cost_center internal_notes,enterprise directory,internal
Customer Service Workspace,Process customer records for approved support operations,account_id email billing_address phone,CRM API,confidential
Customer Operations Portal,Process customer records for approved support operations,account_id email billing_address phone,customer support platform,confidential
Press Release Tracker,Share approved public content with customers,headline summary publication_date,public content feed,public
Community Information Portal,Provide public marketing and product information,product_name description public_price,approved marketing API,public
Secrets Rotation Workflow,Support privileged access administration,bank_account routing_number payment_token,restricted financial API,restricted
Public Product Catalog,Display public events and announcements,title description category public_url,public content feed,public
Privileged Access Manager,Process highly sensitive payment information,password access_token secret_key,restricted financial API,restricted
Privileged Access Manager,Process highly sensitive payment information,card_number expiry_date cvv account_holder,privileged access system,restricted
Marketing Campaign Page,Publish information intended for external audiences,event_name event_date venue public_link,public CMS,public
Marketing Campaign Page,Publish information intended for external audiences,product_name description public_price,public CMS,public
Internal Project Tracker,Track internal requests and operational activities,employee_name department task_status,internal ticketing system,internal
Community Information Portal,Publish information intended for external audiences,event_name event_date venue public_link,approved marketing API,public
Account Support Dashboard,Analyze customer operational records,customer_name email phone customer_id,customer support platform,confidential
Secrets Rotation Workflow,Process highly sensitive payment information,api_secret privileged_account credential,privileged access system,restricted
Public Event Directory,Share approved public content with customers,event_name event_date venue public_link,approved marketing API,public
Customer Data Export,Process customer records for approved support operations,customer_name email phone customer_id,customer database,confidential
Financial Card Processing App,Manage privileged credentials and secrets,bank_account routing_number payment_token,payment processor,restricted
Marketing Campaign Page,Display public events and announcements,event_name event_date venue public_link,public content feed,public
Customer Operations Portal,Manage customer contact information,account_id email billing_address phone,customer support platform,confidential
Account Support Dashboard,Analyze customer operational records,account_id email billing_address phone,customer database,confidential
Customer Operations Portal,Support customer account servicing,customer_id contact_email address,customer database,confidential
Marketing Campaign Page,Provide public marketing and product information,event_name event_date venue public_link,public website,public
Customer Data Export,Analyze customer operational records,account_id email billing_address phone,customer support platform,confidential
Marketing Campaign Page,Provide public marketing and product information,headline summary publication_date,public CMS,public
Privileged Access Manager,Process highly sensitive payment information,password access_token secret_key,restricted financial API,restricted
Customer Operations Portal,Manage customer contact information,account_id email billing_address phone,CRM API,confidential
Operations Task Board,Track internal requests and operational activities,asset_type employee_id approval_status,enterprise directory,internal
Client Contact Manager,Analyze customer operational records,client_name phone_number support_case,customer database,confidential
Payment Administration Tool,Manage privileged credentials and secrets,card_number expiry_date cvv account_holder,payment processor,restricted
Operations Task Board,Support internal business operations,asset_type employee_id approval_status,internal database,internal
Account Support Dashboard,Analyze customer operational records,customer_name email phone customer_id,customer support platform,confidential
Privileged Access Manager,Process highly sensitive payment information,bank_account routing_number payment_token,restricted financial API,restricted
Client Contact Manager,Analyze customer operational records,customer_name email phone customer_id,customer support platform,confidential
Account Support Dashboard,Manage customer contact information,customer_name email phone customer_id,CRM API,confidential
Public Event Directory,Publish information intended for external audiences,event_name event_date venue public_link,public CMS,public
Payment Administration Tool,Process highly sensitive payment information,api_secret privileged_account credential,payment processor,restricted
Marketing Campaign Page,Display public events and announcements,event_name event_date venue public_link,public content feed,public
Internal Knowledge Workflow,Track internal requests and operational activities,employee_name department task_status,internal database,internal
Internal Knowledge Workflow,Coordinate employee workflow and project tasks,employee_name department task_status,internal ticketing system,internal
Credential Operations Workflow,Process highly sensitive payment information,password access_token secret_key,payment processor,restricted
Employee Equipment Request,Support internal business operations,department cost_center internal_notes,internal database,internal
Operations Task Board,Support internal business operations,asset_type employee_id approval_status,enterprise directory,internal
Public Event Directory,Display public events and announcements,event_name event_date venue public_link,public content feed,public
Community Information Portal,Provide public marketing and product information,headline summary publication_date,public website,public
Customer Operations Portal,Analyze customer operational records,customer_id contact_email address,approved customer service API,confidential
Internal Knowledge Workflow,Coordinate employee workflow and project tasks,department cost_center internal_notes,corporate workflow API,internal
Client Contact Manager,Support customer account servicing,account_id email billing_address phone,customer support platform,confidential
Community Information Portal,Share approved public content with customers,title description category public_url,approved marketing API,public
Customer Service Workspace,Analyze customer operational records,customer_id contact_email address,CRM API,confidential
Internal Knowledge Workflow,Manage internal department planning,department cost_center internal_notes,corporate workflow API,internal
Customer Data Export,Process customer records for approved support operations,customer_name email phone customer_id,customer support platform,confidential
Credential Operations Workflow,Manage privileged credentials and secrets,bank_account routing_number payment_token,payment processor,restricted
Employee Equipment Request,Manage internal department planning,asset_type employee_id approval_status,corporate workflow API,internal
Privileged Access Manager,Process highly sensitive payment information,card_number expiry_date cvv account_holder,secret management service,restricted
Customer Data Export,Process customer records for approved support operations,customer_name email phone customer_id,customer database,confidential
Payment Administration Tool,Handle restricted financial transaction data,card_number expiry_date cvv account_holder,payment processor,restricted
Account Support Dashboard,Manage customer contact information,client_name phone_number support_case,customer support platform,confidential
Account Support Dashboard,Manage customer contact information,account_id email billing_address phone,CRM API,confidential
Customer Operations Portal,Support customer account servicing,customer_id contact_email address,customer database,confidential
Operations Task Board,Manage internal department planning,asset_type employee_id approval_status,internal ticketing system,internal
Employee Equipment Request,Support internal business operations,employee_name department task_status,enterprise directory,internal
Department Planning App,Track internal requests and operational activities,project_code owner team deadline,internal ticketing system,internal
Account Support Dashboard,Support customer account servicing,account_id email billing_address phone,customer support platform,confidential
Public Event Directory,Publish information intended for external audiences,event_name event_date venue public_link,approved marketing API,public
Payment Administration Tool,Handle restricted financial transaction data,password access_token secret_key,privileged access system,restricted
Public Event Directory,Publish information intended for external audiences,product_name description public_price,public website,public
Privileged Access Manager,Process highly sensitive payment information,password access_token secret_key,payment processor,restricted
Customer Service Workspace,Manage customer contact information,customer_id contact_email address,customer support platform,confidential
Employee Equipment Request,Support internal business operations,asset_type employee_id approval_status,enterprise directory,internal
Secrets Rotation Workflow,Manage privileged credentials and secrets,card_number expiry_date cvv account_holder,restricted financial API,restricted
Operations Task Board,Support internal business operations,project_code owner team deadline,internal ticketing system,internal
Credential Operations Workflow,Manage privileged credentials and secrets,password access_token secret_key,secret management service,restricted
Press Release Tracker,Provide public marketing and product information,title description category public_url,public CMS,public
Internal Project Tracker,Manage internal department planning,asset_type employee_id approval_status,corporate workflow API,internal
Public Product Catalog,Display public events and announcements,title description category public_url,public content feed,public
Public Product Catalog,Publish information intended for external audiences,headline summary publication_date,public CMS,public
Customer Operations Portal,Analyze customer operational records,client_name phone_number support_case,approved customer service API,confidential
Customer Operations Portal,Support customer account servicing,customer_name email phone customer_id,approved customer service API,confidential
Privileged Access Manager,Handle restricted financial transaction data,password access_token secret_key,payment processor,restricted
Press Release Tracker,Publish information intended for external audiences,title description category public_url,public website,public
